id,governorate,question_tag,question_tag_order,question_map,question_raw,question_en,question_ar,answer_raw,answer_en,answer_ar,answer_rank,answer_count,answer_pct
1,Ibb,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,108.0,63.52941176
2,Abyan,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,4.0,13.33333333
3,Sana'a City,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,129.0,92.14285714
4,al-Baydha',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,13.0,32.5
5,Taiz,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,78.0,41.05263158
6,al-Jawf,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,16.0,53.33333333
7,Hajja,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,113.0,94.16666667
8,al-Hudaida,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,82.0,48.23529412
9,Hadhramawt,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,24.0,30.0
10,Dhamar,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,87.0,87.0
11,Shabwa,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,20.0,50.0
12,Sana'a,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,65.0,92.85714286
13,Aden,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,7.0,14.0
14,Lahj,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,34.0,56.66666667
15,Marib,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,12.0,60.0
