id,governorate,question_tag,question_tag_order,question_map,question_raw,question_en,question_ar,question_scale,answer_raw,answer_en,answer_ar,answer_rank,answer_count,answer_pct
1,Ibb,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,16.0,9.411764706
2,Abyan,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,5.0,16.66666667
3,Sana'a City,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,61.0,43.57142857
4,al-Baydha',international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,0.0,0.0
5,Taiz,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,53.0,27.89473684
6,al-Jawf,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,13.0,43.33333333
7,Hajja,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,19.0,15.83333333
8,al-Hudaida,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,2.0,1.176470588
9,Hadhramawt,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,5.0,6.25
10,Dhamar,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,30.0,30.0
