id,governorate,question_tag,question_tag_order,question_map,question_raw,question_en,question_ar,answer_raw,answer_en,answer_ar,answer_rank,answer_count,answer_pct
1,Ibb,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,16,9.411764706
2,Abyan,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,5,16.66666667
3,Sana'a City,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,61,43.57142857
4,al-Baydha',international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,0,0
5,Taiz,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,53,27.89473684
6,al-Jawf,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,13,43.33333333
7,Hajja,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,19,15.83333333
8,al-Hudaida,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,2,1.176470588
9,Hadhramawt,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,5,6.25
10,Dhamar,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,30,30
11,Shabwa,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,8,20
12,Sana'a,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,25,35.71428571
13,Aden,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,3,6
14,Lahj,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,3,5
15,Marib,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,8,40
16,al-Mahweet,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,1,2.5
17,al-Mahra,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,0,0
18,Amran,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,10,14.28571429
19,al-Dhali',international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,17,42.5
20,Rayma,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,1,3.333333333
1,Ibb,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,2,Negative,,2,16,9.411764706
2,Abyan,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,2,Negative,,2,0,0
3,Sana'a City,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,2,Negative,,2,1,0.714285714
4,al-Baydha',international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,2,Negative,,2,0,0
5,Taiz,international relations,10,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,2,Negative,,2,10,5.263157895
